Unidade federativa,PIB per capita,IDH,Alfabetização,Mortalidade infantil,Expectativa de vida,Região
Acre,16953.46,0.663,0.8690000000000001,0.017,73.9,Norte
Alagoas,13877.53,0.631,0.8059999999999999,0.0195,71.6,Nordeste
Amapá,18079.54,0.708,0.95,0.0232,73.9,Norte
Amazonas,21978.95,0.674,0.9309999999999999,0.0182,71.9,Norte
Bahia,16115.89,0.66,0.87,0.0173,73.5,Nordeste
Ceará,14669.14,0.682,0.848,0.0144,73.8,Nordeste
Distrito Federal,73971.05,0.824,0.9740000000000001,0.0105,78.1,Centro-Oeste
Espírito Santo,30627.45,0.74,0.938,0.0088,78.2,Sudeste
Goiás,26265.32,0.735,0.935,0.0149,74.2,Centro-Oeste
Maranhão,11366.23,0.639,0.833,0.0213,70.6,Nordeste
Mato Grosso,32894.96,0.725,0.935,0.0169,74.2,Centro-Oeste
Mato Grosso do Sul,31337.22,0.729,0.937,0.014,75.5,Centro-Oeste
Minas Gerais,24884.94,0.731,0.938,0.0109,77.2,Sudeste
Pará,16009.98,0.646,0.907,0.0166,72.1,Norte
Paraíba,14133.32,0.658,0.8370000000000001,0.0161,73.2,Nordeste
Paraná,33768.62,0.749,0.955,0.009300000000000001,77.1,Sul
Pernambuco,16795.34,0.673,0.872,0.0127,73.9,Nordeste
Piauí,12218.51,0.646,0.828,0.019100000000000002,71.1,Nordeste
Rio de Janeiro,39826.95,0.761,0.973,0.0115,76.2,Sudeste
Rio Grande do Norte,16631.86,0.684,0.853,0.0147,75.7,Nordeste
Rio Grande do Sul,33960.36,0.746,0.968,0.0096,77.8,Sul
Rondônia,20677.95,0.69,0.9329999999999999,0.02,71.3,Norte
Roraima,20476.71,0.707,0.934,0.0172,71.5,Norte
Santa Catarina,36525.28,0.774,0.972,0.0092,79.1,Sul
São Paulo,43694.68,0.783,0.972,0.0099,78.1,Sudeste
Sergipe,17189.28,0.665,0.853,0.0162,72.7,Nordeste
Tocantins,19094.16,0.699,0.8959999999999999,0.0158,73.4,Norte
